"SongId","TitreCatalogue","ArtisteCatalogue","VideoUrlActuelle"
"9","Eteins la lumière","Axel Bauer",""
"14","Ma plus belle histoire d'amour c'est vous","Barbara",""
"15","Woman in love","Barbra Streisand",""
"18","It's heartache","Bonnie Tyler",""
"22","D'amour et d'amitié","Céline Dion",""
"142","Le jerk","Thierry Azard",""
"26","Le reste","Clara Luciani",""
"28","Amour toujours","Clara Luciani",""
"32","Mourir sur scene","Dalida",""
"33","Laisser moi danser","Dalida",""
"35","Je viens pas te parler d'amour","Daniel Guichard",""
"36","La tendresse","Daniel Guichard",""
"37","Hélène","Dave",""
"42","Pas de boogie woogie","Eddie Mitchell",""
"31","Don't dream is over","Crowed House",""
"45","Can't help falling in love","Elvis Presley",""
"50","Besoin de vous","France Gall",""
"51","Calypso","France Gall",""
"56","Diego, libre dans sa tête","France Gall",""
"57","Évidemment","France Gall",""
"58","Si, maman si","France Gall",""
"59","Les gens bien élevés","France Gall",""
"60","Je l'aime à mourir","Francis Cabrel",""
"63","I maschi","Gianna Nannini",""
"5","The winner takes it all","Abba",""
"82","Imagine","John Lenon",""
"137","hello","Stevie Wonder",""
"64","On va s'aimer","Gilbert Montagné",""
"65","Viens danser","Gilbert Montagné",""
"66","Toujours envie de te revoir","Gilbert Montagné",""
"67","Sans elle","Gilbert Montagné",""
"68","J'ai le blues de toi","Gilbert Montagné",""
"69","Y a trop d gens qui t'aiment","Hélène Ségara",""
"71","Tourner dans le vide","Indila",""
"73","What t a feeling","Irene Cara",""
"76","Porque te vas","Jeanette",""
"79","Siffler sur la colline","Joe Dassin",""
"83","Somewhereonly we know","Keane",""
"86","Tout","Lara Fabian",""
"87","si tu m'aimes","Lara Fabian",""
"88","Strani amore","Laura Pausini",""
"89","Belle ile en mer","Laurent Voulzy",""
"90","Le pouvoir des fleurs","Laurent Voulzy",""
"94","Je vole","Louane",""
"96","Piensa en mi","Luz Casal",""
"98","Without you","Maria Carey",""
"102","Hijo della luna","Mecano",""
"106","Les moulins de mon coeur","Michel Legrand",""
"107","La poupée qui fait non","Michel Polnareff",""
"110","Place des grands hommes","Patrick Bruel",""
"111","Je t'aime","Patrick Bruel",""
"113","Je n'ai que mon âme","Natasha St Pier",""
"114","Le sud","Nino Ferrer",""
"115","Mon mec à moi","Patricia Kaas",""
"117","Quand jimmy dit","Patricia Kaas",""
"118","Elle voulait jouer cabaret","Patricia Kaas",""
"119","Mademoiselle chante le blues","Patricia Kaas",""
"122","I'll stand by you","Pretenders",""
"123","Love of my life","Queen",""
"126","Coup de soleil","Richard Cocciante",""
"128","Sara perche ti amo","Ricchi e Poveri",""
"129","Hélène","Roch Voisine",""
"131","Love is all","Roger Glover",""
"133","La javanaise","Serge Gainsbourg",""
"134","Ziggy","Starmania",""
"136","I just call","Stevie Wonder",""
"138","Faut qu'tu m'aimes","Styleto",""
"139","Un jour ..new york","Telephone",""
"140","Ça c'est vraiment toi","Telephone",""
"141","I’ll stand by you","The Pretenders",""
"143","Drole de vie","Veronique Sanson",""
"144","Ma révérence","Veronique Sanson",""
"147","J'envoie valser","Zazie",""
