"Fichier","TitreCatalogue","ArtisteCatalogue","SongId","VideoUrlProposee","VideoUrlActuelle","Score","Correspondance","Action","Details"
"4 Non Blondes - What's Up.mp4","What's Up","4 Non Blondes","48","/karaoke/4%20Non%20Blondes%20-%20What's%20Up.mp4","/karaoke/4%20Non%20Blondes%20-%20What's%20Up.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"ABBA - The Winner Takes It All .mp4","The winner takes it all","Abba","5","/karaoke/ABBA%20-%20The%20Winner%20Takes%20It%20All%20.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Adele - Skyfall.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Amy Winehouse - I'm No Good.mp4","I'm no good","Amy Winehouse","6","/karaoke/Amy%20Winehouse%20-%20I'm%20No%20Good.mp4","/karaoke/Amy%20Winehouse%20-%20I'm%20No%20Good.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Axel Bauer - Éteins la lumière.mp4","Eteins la lumière","Axel Bauer","9","/karaoke/Axel%20Bauer%20-%20%C3%89teins%20la%20lumi%C3%A8re.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Axelle-Red- Sensualité.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Barbara - Dis, quand reviendras-tu.mp4","Dis quand reviendras tu","Barbara","13","/karaoke/Barbara%20-%20Dis%2C%20quand%20reviendras-tu.mp4","/karaoke/Barbara%20-%20Dis%2C%20quand%20reviendras-tu.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Barbara - L'aigle noir.mp4","L'aigle noir","Barbara","12","/karaoke/Barbara%20-%20L'aigle%20noir.mp4","/karaoke/Barbara%20-%20L'aigle%20noir.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Barbara - Ma plus belle histoire d'amour.mp4","Ma plus belle histoire d'amour c'est vous","Barbara","14","/karaoke/Barbara%20-%20Ma%20plus%20belle%20histoire%20d'amour.mp4",,"93","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 88 / Artiste 100"
"Barbra Streisand - Memory.mp4","Memory","Barbra Streisand","10","/karaoke/Barbra%20Streisand%20-%20Memory.mp4","/karaoke/Barbra%20Streisand%20-%20Memory.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Barbra Streisand - The Way We Were.mp4","The way we were","Barbra Streisand","11","/karaoke/Barbra%20Streisand%20-%20The%20Way%20We%20Were.mp4","/karaoke/Barbra%20Streisand%20-%20The%20Way%20We%20Were.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Ben E. King - Stand by Me.mp4","Stand by me","Ben E King","16","/karaoke/Ben%20E.%20King%20-%20Stand%20by%20Me.mp4","/karaoke/Ben%20E.%20King%20-%20Stand%20by%20Me.mp4","96","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 90"
"Blues Trottoir - Un soir de pluie.mp4","Un soir de pluie","Blues Trottoir","17","/karaoke/Blues%20Trottoir%20-%20Un%20soir%20de%20pluie.mp4","/karaoke/Blues%20Trottoir%20-%20Un%20soir%20de%20pluie.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Bonnie Tyler – It’s A Heartache .mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"bourvil-la-tendresse.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Charles Aznavour - La Bohème.mp4","La boheme","Aznavour","7","/karaoke/Charles%20Aznavour%20-%20La%20Boh%C3%A8me.mp4","/karaoke/Charles%20Aznavour%20-%20La%20Boh%C3%A8me.mp4","96","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 90"
"Christina Aguilera - Hurt.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Christina Perri - A Thousand Years.mp4","A thousand years","Christina Perri","29","/karaoke/Christina%20Perri%20-%20A%20Thousand%20Years.mp4","/karaoke/Christina%20Perri%20-%20A%20Thousand%20Years.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Clara Luciani - Amour toujours.mp4","Amour toujours","Clara Luciani","28","/karaoke/Clara%20Luciani%20-%20Amour%20toujours.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Clara Luciani - Bravo tu as gagné.mp4","Bravo tu as gagné","Clara Luciani","24","/karaoke/Clara%20Luciani%20-%20Bravo%20tu%20as%20gagn%C3%A9.mp4","/karaoke/Clara%20Luciani%20-%20Bravo%20tu%20as%20gagn%C3%A9.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Clara Luciani - La grenade.mp4","La grenade","Clara Luciani","27","/karaoke/Clara%20Luciani%20-%20La%20grenade.mp4","/karaoke/Clara%20Luciani%20-%20La%20grenade.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Clara Luciani - Le reste.mp4","Le reste","Clara Luciani","26","/karaoke/Clara%20Luciani%20-%20Le%20reste.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Clara Luciani - Tout pour moi.mp4","Tout pour moi","Clara Luciani","25","/karaoke/Clara%20Luciani%20-%20Tout%20pour%20moi.mp4","/karaoke/Clara%20Luciani%20-%20Tout%20pour%20moi.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Claude François - Comme d'habitude.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Crowded House - Don't Dream It's Over.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Céline Dion - D'amour ou d'amitié.mp4","D'amour et d'amitié","Céline Dion","22","/karaoke/C%C3%A9line%20Dion%20-%20D'amour%20ou%20d'amiti%C3%A9.mp4",,"89","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 82 / Artiste 100"
"Céline Dion - Encore un soir.mp4","Encore un soir","Céline Dion","20","/karaoke/C%C3%A9line%20Dion%20-%20Encore%20un%20soir.mp4","/karaoke/C%C3%A9line%20Dion%20-%20Encore%20un%20soir.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Céline Dion - My Heart Will Go On.mp4","My heart will go on","Céline Dion","21","/karaoke/C%C3%A9line%20Dion%20-%20My%20Heart%20Will%20Go%20On.mp4","/karaoke/C%C3%A9line%20Dion%20-%20My%20Heart%20Will%20Go%20On.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Céline Dion - Pour que tu m'aimes encore.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Céline Dion - Prière païenne.mp4","Prière paienne","Céline Dion","23","/karaoke/C%C3%A9line%20Dion%20-%20Pri%C3%A8re%20pa%C3%AFenne.mp4","/karaoke/C%C3%A9line%20Dion%20-%20Pri%C3%A8re%20pa%C3%AFenne.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Céline Dion - S'il suffisait d'aimer.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Dalida - Laissez-moi danser (Monday, Tuesday) (chœurs) (1979) [BDFab karaoke].mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Dalida - Mourir sur scène.mp4","Mourir sur scene","Dalida","32","/karaoke/Dalida%20-%20Mourir%20sur%20sc%C3%A8ne.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Daniel Guichard - La tendresse ..mp4","La tendresse","Daniel Guichard","36","/karaoke/Daniel%20Guichard%20-%20La%20tendresse%20..mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Daniel Guichard - Mon vieux.mp4","Mon vieux","Daniel Guichard","34","/karaoke/Daniel%20Guichard%20-%20Mon%20vieux.mp4","/karaoke/Daniel%20Guichard%20-%20Mon%20vieux.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"DAVE   LETTRE A HELENE.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Diane Tell - Si j'étais un homme.mp4","Si j'étais un homme","Diane Tell","38","/karaoke/Diane%20Tell%20-%20Si%20j'%C3%A9tais%20un%20homme.mp4","/karaoke/Diane%20Tell%20-%20Si%20j'%C3%A9tais%20un%20homme.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
